,Name,lat,lon,Positive Percentage,Negative Percentage,Tweet Activity
57,Sha Tin,22.3818236,114.1869874,0.42277992277992277,0.019305019305019305,518
58,Sha Tin Wai,22.3770253,114.1949773,0.2857142857142857,0.03571428571428571,56
59,Sham Shui Po,22.3307712,114.16226809999999,0.3775811209439528,0.05014749262536873,678
60,Shau Kei Wan,22.279250199999996,114.2288793,0.48623853211009177,0.009174311926605505,109
61,Shek kip Mei,22.3321,114.16878999999999,0.4396135265700483,0.04830917874396135,207
62,Shek Mun,22.387687300000003,114.20833640000001,0.48,0.04,125
63,Sheung Shui,22.5011887,114.128054,0.5701754385964912,0.043859649122807015,114
64,Sheung Wan,22.286525100000002,114.1521628,0.5123757904245709,0.024209575429087624,5535
65,Siu Hong,22.411397100000002,113.9787379,0.22790697674418606,0.013953488372093023,215
66,South Horizons,22.24285,114.14873999999999,0.37823834196891193,0.025906735751295335,193
67,Sunny Bay,22.3316913,114.02905449999999,0.42857142857142855,0.014285714285714285,70
68,Tai Koo,22.2849916,114.21612759999998,0.406494960806271,0.03135498320268757,893
69,Tai Po Market,22.444555899999997,114.17048929999999,0.4787234042553192,0.05319148936170213,94
70,Tai Shui Hang,22.408425,114.22271599999999,0.4166666666666667,0.08333333333333333,12
71,Tai Wai,22.372707100000003,114.1786167,0.39814814814814814,0.004629629629629629,216
72,Tai Wo,22.450999499999998,114.1612209,0.46,0.03,100
73,Tai Wo Hau,22.3707784,114.12506680000001,0.34513274336283184,0.02654867256637168,113
74,Tin Hau,22.282421499999998,114.19172579999999,0.4795539033457249,0.02509293680297398,1076
75,Tin Shui Wai,22.448225100000002,114.0047405,0.358974358974359,0.02564102564102564,39
76,Tiu Keng Leng,22.304255100000002,114.2526791,0.5921052631578947,0.039473684210526314,76
77,Tseung Kwan O,22.3074303,114.25989340000001,0.45384615384615384,0.011538461538461539,260
78,Tsim Sha Tsui,22.297571899999998,114.17220490000001,0.5114481118049361,0.026613143027059173,6726
79,Tsing Yi,22.3584978,114.1076733,0.48756218905472637,0.01990049751243781,201
80,Tsuen Wan,22.373614,114.1176374,0.4891304347826087,0.04891304347826087,184
81,Tsuen Wan West,22.368478699999997,114.10964640000002,0.4744525547445255,0.072992700729927,137
82,Tuen Mun,22.3949146,113.9730692,0.4294117647058823,0.011764705882352941,340
83,Tung Chung,22.289254999999997,113.94143580000001,0.31958762886597936,0.041237113402061855,582
84,University,22.4135158,114.2101754,0.5978260869565217,0.010869565217391304,92
85,Wan Chai,22.277541199999998,114.1731527,0.4817895683453237,0.021133093525179857,4448
86,Whampoa,22.305066399999998,114.1895125,0.4765807962529274,0.03044496487119438,854
87,Wong Chuk Hang,22.247970000000002,114.16805,0.535377358490566,0.02358490566037736,424
88,Wong Tai Sin,22.341632699999998,114.1933144,0.4943820224719101,0.016853932584269662,178
89,Wu Kai Sha,22.4291778,114.2438989,0.5909090909090909,0.0,22
90,Yau Ma Tei,22.3133688,114.17058279999999,0.5020746887966805,0.036514522821576766,1205
91,Yau Tong,22.297929800000002,114.2370027,0.4,0.06666666666666667,45
92,Yuen Long,22.446087600000002,114.03477020000001,0.4497991967871486,0.05220883534136546,249
